enroll,priv,police,crime,lcrime,lenroll,lpolice
21836,0,24,446,6.100318909,9.991314888,3.178053856
6485,0,13,1,0,8.777247429,2.564949274
2123,0,3,1,0,7.660585403,1.098612309
8240,0,17,121,4.795790672,9.016756058,2.833213329
19793,0,30,470,6.152732849,9.893083572,3.401197433
3256,1,9,25,3.218875885,8.088254929,2.197224617
11990,0,20,67,4.204692841,9.391828537,2.995732307
42615,0,44,1327,7.190676212,10.6599617,3.784189701
5112,1,7,43,3.76120019,8.539345741,1.945910096
17689,0,18,484,6.182085037,9.780697823,2.890371799
29088,0,21,170,5.135798454,10.27808094,3.044522524
35210,0,32,1145,7.043159962,10.46908569,3.465735912
4481,1,5,54,3.988984108,8.407601357,1.609437943
13570,1,6,82,4.406719208,9.515616417,1.791759491
18772,0,12,468,6.148468494,9.840121269,2.484906673
17572,0,11,491,6.196444035,9.774062157,2.397895336
15669,0,10,499,6.212605953,9.659439087,2.302585125
10359,0,12,186,5.225746632,9.245611191,2.484906673
19820,0,16,684,6.527957916,9.894446373,2.77258873
8173,1,2,65,4.174387455,9.008591652,0.693147182
7910,1,17,326,5.786897182,8.975883484,2.833213329
30796,0,74,1712,7.445417404,10.33514023,4.304065228
24011,0,47,1384,7.23273325,10.08626747,3.850147486
16897,0,24,781,6.660574913,9.734890938,3.178053856
17812,0,16,395,5.978885651,9.78762722,2.77258873
11188,0,8,124,4.820281506,9.322597504,2.079441547
23958,0,21,568,6.342121601,10.08405781,3.044522524
23958,0,14,411,6.018593311,10.08405781,2.639057398
12412,0,8,140,4.941642284,9.426419258,2.079441547
2746,1,5,157,5.056245804,7.917900562,1.609437943
21779,0,9,152,5.023880482,9.98870182,2.197224617
31804,0,22,170,5.135798454,10.36734772,3.091042519
42790,0,48,1962,7.581719875,10.66405964,3.871201038
6921,0,48,178,5.181783676,8.842315674,3.871201038
8652,0,14,194,5.267858028,9.065546036,2.639057398
12530,0,15,106,4.663439274,9.435880661,2.708050251
6271,0,8,90,4.499809742,8.743691444,2.079441547
35343,0,26,2052,7.626570225,10.47285557,3.258096457
27901,0,25,580,6.363028049,10.23641777,3.218875885
56350,0,36,1372,7.224024773,10.93933773,3.583518982
11382,0,63,276,5.620400906,9.339788437,4.143134594
24620,0,25,935,6.840546608,10.11131477,3.218875885
11967,0,11,89,4.488636494,9.389907837,2.397895336
7116,0,19,17,2.833213329,8.870100975,2.944438934
7758,0,12,42,3.737669706,8.956480026,2.484906673
11739,0,20,83,4.418840408,9.370672226,2.995732307
5488,0,16,144,4.969813347,8.610319138,2.77258873
9831,0,28,302,5.710426807,9.193295479,3.33220458
33376,0,60,896,6.797940254,10.41559219,4.094344616
9689,1,26,175,5.164785862,9.178746223,3.258096457
4720,1,7,62,4.127134323,8.459564209,1.945910096
18685,0,19,525,6.26339817,9.835475922,2.944438934
18607,0,32,414,6.025866032,9.831293106,3.465735912
24525,0,27,495,6.204557896,10.10744858,3.295836926
8940,0,5,38,3.637586117,9.098290443,1.609437943
16318,0,35,444,6.095824718,9.700023651,3.555348158
54311,0,51,1839,7.51697731,10.90248203,3.931825638
18688,0,24,361,5.888877869,9.835637093,3.178053856
30051,0,50,1202,7.091742039,10.31065083,3.912023067
24947,0,27,294,5.683579922,10.12450886,3.295836926
15164,0,21,145,4.976733685,9.62667942,3.044522524
5803,0,6,50,3.912023067,8.666130066,1.791759491
19770,0,27,351,5.860786438,9.891921043,3.295836926
2167,0,8,85,4.442651272,7.681098938,2.079441547
3850,0,7,47,3.850147486,8.255828857,1.945910096
21250,0,26,691,6.53813982,9.964112282,3.258096457
6209,0,10,118,4.770684719,8.733755112,2.302585125
8165,0,14,103,4.634728909,9.007612228,2.639057398
1799,1,9,44,3.784189701,7.494986057,2.197224617
14620,0,19,239,5.476463318,9.590146065,2.944438934
6555,0,14,202,5.308267593,8.787982941,2.639057398
3712,0,8,58,4.060442924,8.219326019,2.079441547
3290,0,11,64,4.158883095,8.098643303,2.397895336
2446,0,5,43,3.76120019,7.802209377,1.609437943
4100,0,6,53,3.970291853,8.318741798,1.791759491
38989,0,48,969,6.876264572,10.57103443,3.871201038
5363,0,12,129,4.85981226,8.587278366,2.484906673
26266,0,48,728,6.590301037,10.17603016,3.871201038
1859,0,31,246,5.505331516,7.527793884,3.433987141
25135,0,25,456,6.12249279,10.13201618,3.218875885
49961,0,65,982,6.889591217,10.81899834,4.174387455
8980,0,9,72,4.276666164,9.102755547,2.197224617
16798,0,15,252,5.529428959,9.72901535,2.708050251
15759,0,14,169,5.129898548,9.665166855,2.639057398
10654,0,9,233,5.451038361,9.273690224,2.197224617
5861,0,1,55,4.007333279,8.676075935,0
9034,0,7,113,4.727387905,9.108750343,1.945910096
43030,0,41,1228,7.113142014,10.66965294,3.713572025
26040,0,32,347,5.849324703,10.16738892,3.465735912
11790,0,12,170,5.135798454,9.375006676,2.484906673
5141,0,10,114,4.736198425,8.545002937,2.302585125
5601,0,7,90,4.499809742,8.630700111,1.945910096
3176,0,4,56,4.025351524,8.06337738,1.386294365
10992,0,9,187,5.231108665,9.304923058,2.197224617
5034,1,7,15,2.708050251,8.523970604,1.945910096
7710,1,5,426,6.054439545,8.950273514,1.609437943
20693,0,32,616,6.423246861,9.937550545,3.465735912
